code	ingredients_text
87177756	 acide malique
87177756	 arômes 
87177756	extraits naturels de citron et de citron vert
87177756	 correcteur d'acidité 
87177756	citrate de sodium
93718738	water
93718738	 horseradish
93718738	 mustard seed
93718738	 sugar
93718738	 vegetable oil
93718738	 salt
93718738	 food acid
93718738	 whey protein
93718738	 butter
93718738	 modified corn starch
93718738	 xanthan gum
93718738	 sodium metabisulphite
93718738	 color 
93718738	paprika oleoresin
204286484	Proteinmischung 
204286484	_Sojaprotein_
204286484	 _Weizenprotein_
204286484	 _Molkenprotein_
204286484	 _Wheyprotein_
204286484	 _Milchprotein_
204286484	 _Hühnereiweiss_
204286484	 Kakaopulver 
204286484	nur Sorte Schoko
204286484	 Aroma
204286484	 Pflanzenöl
204286484	 Süßungsmittel Natriumsaccharin und Acesulfam-K
2929	Flat leaf parsley
30	Farine de _blé_
30	 _œufs_ frais
30	 huile de colza
30	 sucre
30	 raisins secs 13% 
30	raisins
30	 huile de colza
30	 dextrose
30	 sirop de glucose-fructose
30	 stabilisant : glycérol
30	_blé_
30	 sel
30	 _lait_ écrémé en poudre
30	 émulsifiants : mono et diglycérides d’acides gras
30	 arôme naturel d'orange
31	Fruits 37
31	fruits confits 21
31	fruits 
31	pastèque
31	 bigarreaux
31	 écorce d’orange
31	 sirop de glucose-fructose
31	 sucre
31	 colorants : caramel ordinaire - E120
31	 correcteur d’acidité : acide citrique
31	
31	 raisins secs au rhum 15
31	 farine de blé
31	 huile de colza
31	 œufs frais
31	 sucre
31	 sirop de glucose-fructose
31	 stabilisant : glycérol
31	blé
31	 sel
31	 émulsifiants : mono et diglycérides d’acides gras
31	 lait écrémé en poudre
31	 arôme naturel d’orange
3100	Viandes de porc 
3100	 eau
3100	 acidifiant 
3100	 sel
3100	 dextrose
3100	 acidifiant 
3100	 exhausteur de goût 
3100	 antioxygène 
3100	 colorants 
3100	 arômes
460938714	100% Soja-Protein-Isolat 
460938714	_Soja_
460938714	 Aroma
460938714	 Süßstoff Natrium-Saccharin
470322800	Molkenproteinkonzentrat 99%
470322800	_Wheyproteinkonzentrat_
470322800	nur Schoko Kakaopulver entölt
470322800	 Aroma
470322800	 Pflanzenöl aus Raps
470322800	 Süßungsmittel Acesulfam-K und Sucralose
50	Sucre
50	 blanc d’_œufs_ frais
50	 poudre d’_amande_ 16
50	 _beurre_ pâtissier
50	 farine de _blé_
50	 _œufs_ frais
50	 sirop de glucose-fructose
50	 stabilisant : glycérol
50	 sel
50	_blé_
51	Sucre
51	 blanc d’_œufs_ frais
51	 poudre d’_amande_ 16
51	 _beurre_ pâtissier
51	 farine de _blé_
51	 pépites au citron 7% 
51	sucre
51	 pomme
51	 pulpe de citron 18
51	 dextrose
51	 fibres d’ananas
51	 gélifiant : alginate de sodium
51	 stabilisant : phosphates de calcium
51	 arôme naturel de citron
51	 colorant : curcumine
51	 _œufs_ frais
51	 sirop de glucose-fructose
51	 stabilisant : glycérol
51	 poudre de citron 0
51	équivalent à 5% de jus de citron
51	jus concentré de citron
51	 maltodextrine
51	 sel
51	_blé_
51	 arôme naturel de citron
526938306	Molkenproteinkonzentrat 99%
526938306	_Wheyproteinkonzentrat_
526938306	nur Schoko Kakaopulver entölt
526938306	 Aroma
526938306	 Pflanzenöl aus Raps
526938306	 Süßungsmittel Acesulfam-K und Sucralose
790310013	sugar
790310013	 corn syrup
790310013	 white grape juice from concentrate
790310013	 gelatin
790310013	 citric acid
790310013	 tartaric acid
790310013	 fumaric acid
790310013	 sorbitol
790310013	 natural & artificial flavours
790310013	 silicon dioxide 
790310013	anticaking agent
790310013	 artificial colours 
790310013	fd&c red 40
790310013	 yellow 6
790310013	 blue 1
790310013	 yellow 5
790310020	sugar
790310020	 corn syrup
790310020	 modified corn starch
790310020	 citrict acid
790310020	 sodium citrate
790310020	 natural and artificial flavours
790310020	 mineral oil
790310020	 carnauba wax
790310020	 red 40
790310020	 yellow 6
790310020	 yellow 5
790310020	 blue 1
104	Pâtisseries fourrées à la pulpe de pêche : farine de blé
104	 fourrage pêche 20% 
104	sirop de glucose-fructose
104	 purée de pêche 50%*
104	 sucre
104	 gélifiant : pectines
104	 arômes
104	 conservateur : sorbate de potassium
104	 huile de colza
104	 œufs frais
104	 sucre
104	 sirop de glucose-fructose
104	 stabilisant : glycérol
104	blé
104	 sel
104	 lait écrémé en poudre
